Data_source,CAMHID,Site,SiteCode,Region,Year,Century,century_recode,d13C_whole_oto,d18O_whole_oto,d13C_juv,d18O_juv,d13C_adult,d18O_adult,Age_yr,Oto_section_diameter_mm,Estimated_fishlength_cm,VonB_fishlength_cm,VonB_residual,G_index,O18_Reynolds
CAMH,162,Utskalar,UTS,W,1850,19,19,-1.22,2.95, , , , ,10,10.7,101.9769352,95.61,0.636693517,1.066592775,3.8
CAMH,163,Utskalar,UTS,W,1850,19,19,-1,3.29, , , , ,9, , ,90.24, , ,3.8
CAMH,164,Næfursstadðir,NFS,NW,950,10,10, , , , , , ,12,10.21,95.65174092,104.92,-0.772354923,0.911663562,3.55
CAMH,165,Næfursstadðir,NFS,NW,950,10,10,-2.68,3.14, , , , ,15,9.57,87.55670755,115.87,-1.88755283,0.755646048,3.55
CAMH,166,Næfursstadðir,NFS,NW,950,10,10,-0.93,3.37, , , , ,9,9.31,84.32356892,90.24,-0.657381231,0.934436712,3.55
CAMH,167,Næfursstadðir,NFS,NW,950,10,10,-1.58,3.35, , , , ,9,8.79,77.9565334,90.24,-1.364829622,0.863880024,3.55
CAMH,168,Næfursstadðir,NFS,NW,950,10,10,-0.83,2.95, , , , ,16,9.58,87.68170789,118.86,-1.948643257,0.737688944,3.55
CAMH,169,Næfursstadðir,NFS,NW,950,10,10,-0.94,3.26, , , , ,12,10.06,93.73732522,104.92,-0.931889565,0.893417129,3.55
CAMH,170,Næfursstadðir,NFS,NW,950,10,10,-1.61,3.59, , , , ,9, , ,90.24, , ,3.55
CAMH,171,Næfursstadðir,NFS,NW,950,10,10,-0.58,3.15, , , , ,13, , ,108.93, , ,3.55
CAMH,172,Næfursstadðir,NFS,NW,950,10,10,-1.12,3.44, , , , ,7, , ,77.77, , ,3.55
CAMH,173,Næfursstadðir,NFS,NW,950,10,10,-0.95,3.16, , , , ,11,7.67,64.71339469,100.49,-3.252418665,0.643978452,3.55
CAMH,174,Næfursstadðir,NFS,NW,950,10,10,-0.52,3.8, , , , ,11, ,66.2,100.49,-3.1,0.66,3.55
CAMH,175,Næfursstadðir,NFS,NW,950,10,10,-1.24,3.7, , , , ,9, , ,90.24, , ,3.55
CAMH,176,Akurvik,AKU,NW,1475,15,15,-1.84,3.42, , , , ,9,7.64,64.36788554,90.24,-2.874679384,0.713296604,3.58
CAMH,177,Akurvik,AKU,NW,1475,15,15,-1.14,4.99, , , , ,6,5.5,41.08650019,70.56,-4.912249968,0.582291669,3.58
CAMH,178,Gufuskalar,GFS,W,1470,15,15,-0.97,4.5, , , , ,8,7.94,67.8451054,84.31,-2.058111825,0.804710063,3.58
