Source,Historical_or_modern,CAMHID,Year,Century,Century_recoded,Length_cm,Age_yr,Predicted_length_cm,G_index,Region
Archaeo,950-1900,  143B,925,10,10.2,73.5,7,77.77,.95,NW
hooks,2000-2010, ,2000,21,21,82, , , ,NW
hooks,2000-2010, ,2000,21,21,54,5,62.6,.862619808306709,NW
hooks,2000-2010, ,2000,21,21,55,5,62.6,.878594249201278,NW
hooks,2000-2010, ,2000,21,21,58,5,62.6,.926517571884984,NW
hooks,2000-2010, ,2000,21,21,65,5,62.6,1.03833865814696,W
hooks,2000-2010, ,2000,21,21,73,5,62.6,1.16613418530351,W
hooks,2000-2010, ,2000,21,21,61,6,70.56,.864512471655329,W
hooks,2000-2010, ,2000,21,21,72,6,70.56,1.02040816326531,W
hooks,2000-2010, ,2000,21,21,81,6,70.56,1.14795918367347,W
hooks,2000-2010, ,2000,21,21,70,7,77.77,.9000900090009,W
hooks,2000-2010, ,2000,21,21,80,8,84.31,.948879136519986,W
hooks,2000-2010, ,2001,21,21,43,2, , ,W
hooks,2000-2010, ,2001,21,21,49,3,44.18,1.1090991398823,W
hooks,2000-2010, ,2001,21,21,44,4,53.84,.817236255572065,W
hooks,2000-2010, ,2001,21,21,50,4,53.84,.928677563150074,NW
hooks,2000-2010, ,2001,21,21,52,4,53.84,.965824665676077,W
hooks,2000-2010, ,2001,21,21,55,4,53.84,1.02154531946508,NW
hooks,2000-2010, ,2001,21,21,68,4,53.84,1.2630014858841,W
hooks,2000-2010, ,2001,21,21,52,5,62.6,.830670926517572,W
hooks,2000-2010, ,2001,21,21,64,5,62.6,1.0223642172524,W
hooks,2000-2010, ,2001,21,21,68,5,62.6,1.08626198083067,W
hooks,2000-2010, ,2001,21,21,56,6,70.56,.793650793650794,NW
hooks,2000-2010, ,2001,21,21,58,6,70.56,.821995464852608,NW
hooks,2000-2010, ,2001,21,21,67,6,70.56,.949546485260771,NW
hooks,2000-2010, ,2001,21,21,69,6,70.56,.977891156462585,W
hooks,2000-2010, ,2001,21,21,78,6,70.56,1.10544217687075,W
hooks,2000-2010, ,2001,21,21,71,7,77.77,.912948437700913,NW
hooks,2000-2010, ,2001,21,21,72,7,77.77,.925806866400926,NW
hooks,2000-2010, ,2001,21,21,79,7,77.77,1.01581586730102,NW
hooks,2000-2010, ,2001,21,21,69,8,84.31,.818408255248488,W
hooks,2000-2010, ,2001,21,21,82,8,84.31,.972601114932985,NW
hooks,2000-2010, ,2002,21,21,64, , , ,NW
hooks,2000-2010, ,2002,21,21,73, , , ,NW
hooks,2000-2010, ,2002,21,21,75, , , ,NW
hooks,2000-2010, ,2002,21,21,76, , , ,NW
hooks,2000-2010, ,2002,21,21,46,3,44.18,1.04119511090991,W
hooks,2000-2010, ,2002,21,21,47,4,53.84,.87295690936107,NW
hooks,2000-2010, ,2002,21,21,55,4,53.84,1.02154531946508,NW
hooks,2000-2010, ,2002,21,21,56,4,53.84,1.04011887072808,NW
hooks,2000-2010, ,2002,21,21,65,4,53.84,1.2072808320951,W
hooks,2000-2010, ,2002,21,21,70,4,53.84,1.3001485884101,W
hooks,2000-2010, ,2002,21,21,59,5,62.6,.942492012779553,NW
hooks,2000-2010, ,2002,21,21,66,5,62.6,1.05431309904153,W
hooks,2000-2010, ,2002,21,21,72,5,62.6,1.15015974440895,W
hooks,2000-2010, ,2002,21,21,84,5,62.6,1.34185303514377,NW
hooks,2000-2010, ,2002,21,21,88,5,62.6,1.40575079872204,W
hooks,2000-2010, ,2002,21,21,53,6,70.56,.751133786848073,NW
hooks,2000-2010, ,2002,21,21,79,6,70.56,1.11961451247166,W
hooks,2000-2010, ,2002,21,21,87,7,77.77,1.11868329690112,NW
hooks,2000-2010, ,2002,21,21,87,7,77.77,1.11868329690112,W
hooks,2000-2010, ,2003,21,21,55, , , ,W
hooks,2000-2010, ,2003,21,21,60, , , ,NW
hooks,2000-2010, ,2003,21,21,65, , , ,W
hooks,2000-2010, ,2003,21,21,66, , , ,NW
hooks,2000-2010, ,2003,21,21,75, , , ,W
hooks,2000-2010, ,2003,21,21,29,3,44.18,.656405613399728,NW
hooks,2000-2010, ,2003,21,21,47,3,44.18,1.06382978723404,NW
hooks,2000-2010, ,2003,21,21,50,3,44.18,1.13173381620643,W
hooks,2000-2010, ,2003,21,21,46,4,53.84,.854383358098068,W
hooks,2000-2010, ,2003,21,21,49,4,53.84,.910104011887073,NW
hooks,2000-2010, ,2003,21,21,51,4,53.84,.947251114413076,NW
hooks,2000-2010, ,2003,21,21,53,4,53.84,.984398216939079,W
hooks,2000-2010, ,2003,21,21,54,4,53.84,1.00297176820208,NW
hooks,2000-2010, ,2003,21,21,55,4,53.84,1.02154531946508,W
hooks,2000-2010, ,2003,21,21,55,4,53.84,1.02154531946508,W
hooks,2000-2010, ,2003,21,21,64,4,53.84,1.1887072808321,NW
hooks,2000-2010, ,2003,21,21,53,5,62.6,.846645367412141,NW
hooks,2000-2010, ,2003,21,21,55,5,62.6,.878594249201278,NW
hooks,2000-2010, ,2003,21,21,55,5,62.6,.878594249201278,NW
hooks,2000-2010, ,2003,21,21,60,5,62.6,.958466453674121,W
hooks,2000-2010, ,2003,21,21,66,5,62.6,1.05431309904153,W
hooks,2000-2010, ,2003,21,21,75,5,62.6,1.19808306709265,W
hooks,2000-2010, ,2003,21,21,63,6,70.56,.892857142857143,W
hooks,2000-2010, ,2003,21,21,72,6,70.56,1.02040816326531,W
hooks,2000-2010, ,2003,21,21,74,6,70.56,1.04875283446712,W
hooks,2000-2010, ,2003,21,21,62,7,77.77,.797222579400797,NW
hooks,2000-2010, ,2003,21,21,77,7,77.77,.99009900990099,W
hooks,2000-2010, ,2003,21,21,105,7,77.77,1.35013501350135,NW
hooks,2000-2010, ,2004,21,21,48, , , ,NW
hooks,2000-2010, ,2004,21,21,49, , , ,W
hooks,2000-2010, ,2004,21,21,57, , , ,NW
hooks,2000-2010, ,2004,21,21,58, , , ,W
hooks,2000-2010, ,2004,21,21,61, , , ,NW
hooks,2000-2010, ,2004,21,21,63, , , ,W
hooks,2000-2010, ,2004,21,21,64, , , ,W
hooks,2000-2010, ,2004,21,21,65, , , ,NW
hooks,2000-2010, ,2004,21,21,66, , , ,W
hooks,2000-2010, ,2004,21,21,80, , , ,W
hooks,2000-2010, ,2004,21,21,43,2, , ,W
hooks,2000-2010, ,2004,21,21,48,4,53.84,.891530460624071,W
hooks,2000-2010, ,2004,21,21,50,4,53.84,.928677563150074,W
